,Title,Category,Rating,Price,Availability
0,A Light in the Attic,Poetry,Three,£51.77,In stock (22 available)
1,Tipping the Velvet,Historical Fiction,One,£53.74,In stock (20 available)
2,Soumission,Fiction,One,£50.10,In stock (20 available)
3,Sharp Objects,Mystery,Four,£47.82,In stock (20 available)
4,Sapiens: A Brief History of Humankind,History,Five,£54.23,In stock (20 available)
5,The Requiem Red,Young Adult,One,£22.65,In stock (19 available)
6,The Dirty Little Secrets of Getting Your Dream Job,Business,Four,£33.34,In stock (19 available)
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,£17.93,In stock (19 available)
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Four,£22.60,In stock (19 available)
9,The Black Maria,Poetry,One,£52.15,In stock (19 available)
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,£13.99,In stock (19 available)
11,Shakespeare's Sonnets,Poetry,Four,£20.66,In stock (19 available)
12,Set Me Free,Young Adult,Five,£17.46,In stock (19 available)
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Five,£52.29,In stock (19 available)
14,Rip it Up and Start Again,Music,Five,£35.02,In stock (19 available)
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Three,£57.25,In stock (19 available)
16,Olio,Poetry,One,£23.88,In stock (19 available)
17,Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,One,£37.59,In stock (19 available)
18,Libertarianism for Beginners,Politics,Two,£51.33,In stock (19 available)
19,It's Only the Himalayas,Travel,Two,£45.17,In stock (19 available)
20,In Her Wake,Thriller,One,£12.84,In stock (19 available)
21,How Music Works,Music,Two,£37.32,In stock (19 available)
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,Three,£30.52,In stock (19 available)
23,Chase Me (Paris Nights #2),Romance,Five,£25.27,In stock (19 available)
24,Black Dust,Romance,Five,£34.53,In stock (19 available)
25,Birdsong: A Story in Pictures,Childrens,Three,£54.64,In stock (19 available)
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,Three,£22.50,In stock (19 available)
27,Aladdin and His Wonderful Lamp,Default,Three,£53.13,In stock (19 available)
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,Five,£40.30,In stock (18 available)
29,Wall and Piece,Art,Four,£44.18,In stock (18 available)
30,The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,Five,£17.66,In stock (18 available)
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,Three,£31.05,In stock (18 available)
32,The Elephant Tree,Thriller,Five,£23.82,In stock (18 available)
33,The Bear and the Piano,Childrens,One,£36.89,In stock (18 available)
34,Sophie's World,Philosophy,Five,£15.94,In stock (18 available)
35,Penny Maybe,Default,Three,£33.29,In stock (18 available)
36,Maude (1883-1993):She Grew Up with the country,Default,Two,£18.02,In stock (18 available)
37,"In a Dark, Dark Wood",Mystery,One,£19.63,In stock (18 available)
38,Behind Closed Doors,Thriller,Four,£52.22,In stock (18 available)
39,You can't bury them all: Poems,Poetry,Two,£33.63,In stock (17 available)
40,Slow States of Collapse: Poems,Poetry,Three,£57.31,In stock (17 available)
41,Reasons to Stay Alive,Nonfiction,Two,£26.41,In stock (17 available)
42,Private Paris (Private #10),Fiction,Five,£47.61,In stock (17 available)
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,Five,£23.11,In stock (17 available)
44,Without Borders (Wanderlove #1),New Adult,Two,£45.07,In stock (16 available)
45,When We Collided,Contemporary,One,£31.77,In stock (16 available)
46,"We Love You, Charlie Freeman",Fiction,Five,£50.27,In stock (16 available)
47,Untitled Collection: Sabbath Poems 2014,Poetry,Four,£14.27,In stock (16 available)
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,Four,£44.18,In stock (16 available)
49,Unicorn Tracks,Fantasy,Three,£18.78,In stock (16 available)
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,One,£25.52,In stock (16 available)
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,One,£16.28,In stock (16 available)
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,Three,£31.12,In stock (16 available)
53,This One Summer,Sequential Art,Four,£19.49,In stock (16 available)
54,Thirst,Fiction,Five,£17.27,In stock (16 available)
55,The Torch Is Passed: A Harding Family Story,Add a comment,One,£19.09,In stock (16 available)
56,The Secret of Dreadwillow Carse,Childrens,One,£56.13,In stock (16 available)
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,One,£56.41,In stock (16 available)
58,The Past Never Ends,Mystery,Four,£56.50,In stock (16 available)
59,The Natural History of Us (The Fine Art of Pretending #2),Young Adult,Three,£45.22,In stock (16 available)
60,The Nameless City (The Nameless City #1),Sequential Art,Four,£38.16,In stock (16 available)
61,The Murder That Never Was (Forensic Instincts #5),Fiction,Three,£54.11,In stock (16 available)
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,Four,£42.96,In stock (16 available)
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,Four,£23.89,In stock (16 available)
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,Three,£16.77,In stock (16 available)
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,Five,£20.59,In stock (16 available)
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,One,£37.13,In stock (16 available)
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,One,£56.06,In stock (16 available)
68,The Death of Humanity: and the Case for Life,Philosophy,Four,£58.11,In stock (16 available)
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,Three,£49.05,In stock (16 available)
70,The Art Forger,Add a comment,Three,£40.76,In stock (16 available)
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,One,£19.73,In stock (16 available)
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,Five,£32.24,In stock (16 available)
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,Four,£41.83,In stock (16 available)
74,Soul Reader,Default,Two,£39.58,In stock (16 available)
75,Security,Horror,Two,£39.25,In stock (16 available)
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,Three,£25.02,In stock (16 available)
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,Two,£51.04,In stock (16 available)
78,Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,Two,£19.83,In stock (16 available)
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,Three,£50.40,In stock (16 available)
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,Five,£13.61,In stock (16 available)
81,Princess Between Worlds (Wide-Awake Princess #5),Fantasy,Five,£13.34,In stock (16 available)
82,"Pop Gun War, Volume 1: Gift",Sequential Art,One,£18.97,In stock (16 available)
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,Two,£36.28,In stock (16 available)
84,Patience,Sequential Art,Three,£10.16,In stock (16 available)
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,Four,£15.44,In stock (16 available)
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,One,£48.41,In stock (16 available)
87,Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,One,£46.35,In stock (16 available)
88,On a Midnight Clear,Add a comment,Three,£14.07,In stock (16 available)
89,Obsidian (Lux #1),Young Adult,Two,£14.86,In stock (16 available)
90,My Paris Kitchen: Recipes and Stories,Food and Drink,Two,£33.37,In stock (16 available)
91,Masks and Shadows,Fantasy,Two,£56.40,In stock (16 available)
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,Four,£14.02,In stock (16 available)
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Two,£46.91,In stock (16 available)
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Three,£45.61,In stock (16 available)
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,Two,£19.92,In stock (16 available)
96,"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,One,£40.11,In stock (16 available)
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,Two,£53.90,In stock (16 available)
98,Join,Science Fiction,Five,£35.67,In stock (16 available)
99,In the Country We Love: My Family Divided,Nonfiction,Four,£22.00,In stock (16 available)
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,Five,£57.36,In stock (16 available)
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,Two,£29.17,In stock (16 available)
102,I am a Hero Omnibus Volume 1,Sequential Art,Three,£54.63,In stock (16 available)
103,How to Be Miserable: 40 Strategies You Already Use,Self Help,One,£46.03,In stock (16 available)
104,Her Backup Boyfriend (The Sorensen Family #1),Romance,One,£33.97,In stock (16 available)
105,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,Two,£22.11,In stock (16 available)
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,Three,£29.69,In stock (16 available)
107,First and First (Five Boroughs #3),Romance,Four,£15.97,In stock (16 available)
108,Fifty Shades Darker (Fifty Shades #2),Romance,One,£21.96,In stock (16 available)
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,Two,£54.35,In stock (16 available)
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,Two,£37.97,In stock (16 available)
111,Danganronpa Volume 1,Sequential Art,Four,£51.99,In stock (16 available)
